,code,title,pointsR1,pointsR2,LEVEL
341,DC012,Post Primary Teacher Education - Religious Education and Music,378,,8
342,DC013,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,419,,8
343,DC014,BA in Jazz and Contemporary Music Performance (audition),419,,8
344,DC110,Business Studies International,465,,8
345,DC111,Business Studies,488,,8
346,DC112,Global Business (France),517,510,8
347,DC113,Global Business (Germany),462,,8
348,DC114,Global Business (Spain),522,,8
349,DC115,Accounting and Finance,510,,8
350,DC116,Global Business (USA),579,,8
351,DC117,Aviation Management / Aviation Management with Pilot Studies,476,475,8
352,DC118,Gnó agus Gaeilge / Business and Irish,359,,8
353,DC119,Global Business (Canada),564,,8
354,DC120,Enterprise Computing,357,,8
355,DC121,Computer Applications,400,,8
356,DC123,Data Science,465,,8
357,DC126,Actuarial Mathematics,560,,8
358,DC127,Common Entry into Actuarial and Financial Mathematics,532,520,8
359,DC131,Communication Studies,407,402,8
360,DC132,Journalism,429,422,8
361,DC133,Multimedia,411,410,8
362,DC155,Applied Language and Translation Studies,387,,8
363,DC161,Analytical Science,498,489,8
364,DC162,Chemical and Pharmaceutical Sciences,521,,8
365,DC166,Environmental Science and Technology,433,399,8
366,DC168,Genetics and Cell Biology,512,510,8
367,DC175,Physics General Entry (options),419,402,8
368,DC181,Biotechnology,499,495,8
369,DC190,Electronic and Computer Engineering (with choice of four majors),413,,8
370,DC193,Mechatronic Engineering,411,,8
371,DC195,Mechanical and Manufacturing Engineering,425,,8
372,DC197,Biomedical Engineering,423,,8
373,DC200,Common Entry into Engineering (Undenominated Entry),422,,8
374,DC201,Common Entry into Science (Undenominated Entry),498,488,8
375,DC202,Sport Science and Health,500,498,8
376,DC203,Science Education,435,,8
377,DC204,Athletic Therapy and Training,522,519,8
378,DC205,Physical Education with Biology,531,,8
379,DC206,Physical Education with Mathematics,499,,8
380,DC208,Psychology,532,521,8
381,DC209,Health and Society,465,440,8
382,DC215,General Nursing,454,433,8
383,DC216,Mental Health Nursing,418,403,8
384,DC217,Intellectual Disability Nursing,370,,8
385,DC218,Children`s and General Nursing (Integrated),500,498,8
386,DC230,"Economics, Politics and Law",435,,8
387,DC231,International Relations,397,,8
388,DC232,Law and Society (BCL),466,,8
389,DC235,Education and Training - Daytime and Flexible Delivery Mode (full-time),309,,8
390,DC238,Social Sciences and Cultural Innovation,377,,8
391,DC239,"Gaeilge, Iriseoireacht agus na Meáin Dhigiteacha",430,,8
392,DC240,"Marketing, Innovation and Technology",476,474,8
393,DC291,Arts (Joint Honours) - Media Studies,376,,8
394,DC292,Arts (Joint Honours) - Law,403,,8
395,DC293,Arts (Joint Honours) - International Languages,377,,8
396,DC295,Arts (Joint Honours) - Politics,376,,8
420,DK810,Accounting and Finance,305,305,8
421,DK816,Business Studies,300,300,8
422,DK820,Computing in Games Development,311,311,8
423,DK821,Computing in Software Development,302,302,8
424,DK822,Augmented and Virtual Reality,307,,8
425,DK830,Building Surveying,336,,8
426,DK831,Architectural Technology,389,,8
427,DK832,Construction Management,387,,8
428,DK843,Engineering (Common Entry),340,340,8
429,DK844,Mechanical Engineering,305,305,8
430,DK845,Electrical & Electronic Engineering,304,304,8
431,DK846,Civil Engineering,391,361,8
432,DK850,International Tourism Management,317,317,8
433,DK860,Music (audition),532,532,8
434,DK861,Arts,302,302,8
435,DK862,Social Care,301,,8
436,DK863,Creative Media,308,308,8
437,DK864,Film and Television Production,300,300,8
438,DK865,Audio and Music Production,301,,8
439,DK870,General Nursing,403,401,8
440,DK872,Intellectual Disability Nursing,336,,8
441,DK874,Mental Health Nursing,356,,8
442,DK876,Early Childhood Studies,321,,8
443,DK877,Midwifery,440,,8
444,DK880,Health and Physical Activity,328,,8
445,DK882,Agriculture (Award options),310,,8
446,DK883,Science (Award options),358,321,8
447,DK884,Sustainable Agriculture,,,8
448,DK885,Agri-Food Production,,,8
449,DK886,Biopharmaceutical Science,301,,8
450,DK887,Environmental Science,330,,8
452,DL821,"English, Media and Cultural Studies",212,212,8
453,DL822,Arts Management,229,229,8
454,DL823,Business Management,235,,8
455,DL825,Applied Psychology,379,,8
456,DL826,Visual Communication Design,855,,8
457,DL827,Art,572,,8
458,DL828,"3D Design, Modelmaking and Digital Art",506,,8
459,DL829,Design for Stage and Screen (Costume Design),593,,8
460,DL830,Design for Stage and Screen (Character Makeup Design),939,,8
461,DL831,Design for Stage and Screen (Production Design),781,,8
462,DL832,Animation,920,,8
463,DL833,Photography,650,,8
464,DL834,Film and Television Production,990,,8
465,DL836,Creative Computing,219,,8
466,DL837,New Media Studies,201,,8
467,DL838,Creative Music Production,754,,8
468,DL839,Interaction and User Experience Design,683,683,8
469,DL840,Digital Marketing,228,228,8
470,DL841,English and Equality Studies,276,,8
471,DN100,Architecture,510,,8
472,DN120,Landscape Architecture,407,,8
473,DN130,City Planning and Environmental Policy,407,400,8
474,DN150,Engineering (Common Entry),531,521,8
475,DN200,Science (options),533,,8
476,DN201,Computer Science (Common Entry),510,,8
477,DN230,Actuarial and Financial Studies,601,,8
478,DN240,Sustainability,440,,8
479,DN250,Agricultural Science (options),456,455,8
480,DN252,Dairy Business,410,,8
481,DN253,Agri - Environmental Sciences,418,,8
482,DN261,Food Science,477,,8
483,DN262,Human Nutrition,531,,8
484,DN271,Forestry,311,,8
485,DN272,"Horticulture, Landscape and Sportsturf Management",297,282,8
486,DN300,Veterinary Medicine - Undergraduate Entry,589,,8
487,DN301,Veterinary Medicine - Graduate Entry (GAMSAT required),,,8
488,DN310,Veterinary Nursing,478,477,8
489,DN400,Medicine - Undergraduate Entry (HPAT required),737,736,8
490,DN401,Medicine - Graduate Entry (GAMSAT required),,,8
491,DN410,Radiography,534,532,8
492,DN411,Radiography - Graduate Entry,,,8
493,DN420,Physiotherapy,578,577,8
494,DN425,Health and Performance Science,510,509,8
495,DN430,Sport and Exercise Management,455,445,8
496,DN440,"Biomedical, Health and Life Sciences",590,589,8
497,DN450,General Nursing,429,424,8
498,DN451,Children`s and General Nursing (Integrated),509,506,8
499,DN452,Midwifery,489,476,8
500,DN453,Mental Health Nursing,397,393,8
501,DN520,Joint Honours (options),310,,8
502,DN530,Humanities (options),340,336,8
503,DN541,Modern Languages (options),303,,8
504,DN600,Law (options),546,544,8
505,DN610,Business and Law,545,,8
506,DN650,Commerce,521,521,8
507,DN660,Commerce International (options),517,511,8
508,DN670,Economics and Finance,613,,8
509,DN700,Social Sciences (options),421,419,8
510,DN710,Economics,498,498,8
511,DN720,Psychology,530,522,8
512,DN750,Social Policy and Sociology,378,,8
524,GA181,Accounting,309,,8
525,GA182,Business,287,,8
526,GA183,Business Information Systems,296,,8
527,GA184,Marketing and Sales,307,,8
528,GA185,Finance and Economics,293,,8
529,GA186,Business with Entrepreneurship,280,,8
530,GA187,Rural Enterprise and Agri-Business,281,,8
534,GA281,Film and Documentary,304,,8
535,GA282,Heritage Studies,220,,8
536,GA283,Contemporary Art,679,,8
537,GA284,Design,303,,8
538,GA285,"Education (Art, Design and Graphics)",,,8
547,GA380,International Hotel Management,242,,8
548,GA381,International Tourism Management,278,,8
549,GA382,Culinary and Gastronomic Science,206,,8
550,GA384,Event Management with Public Relations,212,,8
555,GA480,Construction Management,260,,8
556,GA482,Quantity Surveying and Construction Economics,288,,8
557,GA483,Architectural Technology,265,,8
558,GA484,Civil Engineering,290,,8
560,GA580,Software and Electronic Engineering,300,,8
567,GA680,Mechanical Engineering,330,,8
568,GA681,Energy Engineering,293,,8
569,GA682,Biomedical Engineering,313,,8
570,GA683,Agricultural Engineering,309,,8
571,GA684,Engineering (Common entry to Agri/Biomed/Energy/Mech Eng),340,,8
572,GA685,Manufacturing Engineering Design,309,,8
581,GA780,Applied Freshwater and Marine Biology,327,,8
582,GA781,Applied Biology and Biopharmaceutical Science,337,,8
583,GA782,Chemical and Pharmaceutical Science,336,,8
584,GA783,Physics and Instrumentation,363,,8
585,GA784,Science (Undenominated),372,,8
586,GA785,Medical Science,473,,8
587,GA786,Forensic Science and Analysis,317,,8
588,GA787,Computing in Software Development,270,,8
589,GA788,Computing and Digital Media,274,,8
590,GA789,Agriculture and Environmental Management,287,,8
591,GA790,Sport and Exercise Science,356,,8
592,GA791,Public Health Nutrition,368,,8
599,GA880,General Nursing,429,422,8
600,GA882,Psychiatric Nursing,367,,8
601,GA885,Outdoor Education,252,,8
602,GA887,History and Geography,244,,8
603,GA889,Applied Social Care,266,,8
604,GA890,Early Childhood Education and Care,270,,8
605,GA891,Geography and Outdoor Education,244,,8
607,GA980,Education (Design Graphics and Construction),377,,8
608,GA984,"Furniture Design, Making and Technology - Common Entry",284,,8
610,GC200,Business Studies,252,252,8
611,GC201,Accounting and Finance,303,303,8
612,GC230,Computing Science,335,325,8
613,GC250,Communications and Media Production,,,8
614,GC300,Business Studies,429,,8
615,GC301,Accounting & Finance,253,253,8
616,GC302,Business Studies - HRM,,,8
617,GC305,International Hospitality Management,253,253,8
620,GC400,Business Studies,248,248,8
621,GC401,Accounting and Finance,240,227,8
622,GC402,Business Studies (HRM),264,236,8
623,GC403,Law,244,228,8
624,GC407,Business Studies (Marketing),280,280,8
627,GC430,Computing Science,252,220,8
629,GC450,Communications and Media Production,254,254,8
631,GC462,Design Communication (portfolio),,,8
636,GC489,Interior Architecture (portfolio),254,,8
638,GC494,Fashion Design (portfolio),337,217,8
640,GY101,Arts (Joint-Honours),300,,8
641,GY104,Arts (Psychology),523,520,8
642,GY105,Arts (History),301,,8
643,GY107,Na Dána (Gaeilge agus Léann an Aistriúcháin),409,,8
644,GY109,Arts (Mathematics and Education),403,,8
645,GY110,Arts with Children`s Studies,357,,8
646,GY111,Arts with Creative Writing,330,,8
647,GY112,Arts with Film Studies,321,,8
648,GY113,Arts with Human Rights,368,,8
649,GY115,Arts with Performing Arts Studies,387,,8
650,GY118,"Arts (Drama, Theatre and Performance Studies)",451,,8
651,GY119,Arts (Journalism),400,,8
652,GY120,"Arts (Child, Youth and Family: Policy and Practice)",350,,8
653,GY121,Arts (Children`s Studies),356,,8
654,GY122,Na Dána (Cumarsáid agus Gaeilge),361,,8
655,GY123,Applied Social Sciences,358,,8
