code,Title,EOS_20,EOS_19
GA182,Business,287.0,290.0
GA183,Business Information Systems,296.0,309.0
GA184,Marketing and Sales,307.0,307.0
GA185,Finance and Economics,293.0,307.0
GA186,Business with Entrepreneurship,280.0,297.0
GA187,Rural Enterprise and Agri-Business,281.0,280.0
GA281,Film and Documentary,304.0,287.0
GA282,Heritage Studies,220.0,238.0
GA283,Contemporary Art,679.0,260.0
GA284,Design,303.0,309.0
GA380,International Hotel Management,242.0,225.0
GA381,International Tourism Management,278.0,261.0
GA382,Culinary and Gastronomic Science,206.0,225.0
GA384,Event Management with Public Relations,212.0,209.0
GA480,Construction Management,260.0,260.0
GA482,Quantity Surveying and Construction Economics,288.0,280.0
GA483,Architectural Technology,265.0,251.0
GA484,Civil Engineering,290.0,270.0
GA580,Software and Electronic Engineering,300.0,301.0
GA680,Mechanical Engineering,330.0,336.0
GA681,Energy Engineering,293.0,281.0
GA682,Biomedical Engineering,313.0,331.0
GA683,Agricultural Engineering,309.0,301.0
GA684,Engineering (Common entry to Agri/Biomed/Energy/Mech Eng),340.0,346.0
GA780,Applied Freshwater and Marine Biology,327.0,300.0
GA781,Applied Biology and Biopharmaceutical Science,337.0,317.0
GA782,Chemical and Pharmaceutical Science,336.0,307.0
GA783,Physics and Instrumentation,363.0,373.0
GA784,Science (Undenominated),372.0,327.0
GA785,Medical Science,473.0,451.0
GA786,Forensic Science and Analysis,317.0,300.0
GA787,Computing in Software Development,270.0,275.0
GA788,Computing and Digital Media,282.0,270.0
GA789,Agriculture and Environmental Management,289.0,297.0
GA790,Sport and Exercise Science,356.0,350.0
GA791,Public Health Nutrition,368.0,364.0
GA882,Psychiatric Nursing,367.0,346.0
GA885,Outdoor Education,252.0,210.0
GA887,History and Geography,244.0,228.0
GA889,Applied Social Care,266.0,260.0
GA890,Early Childhood Education and Care,270.0,278.0
GA980,Education (Design Graphics and Construction),377.0,376.0
GC200,Business Studies,252.0,269.0
GC201,Accounting and Finance,303.0,251.0
GC230,Computing Science,325.0,228.0
GC300,Business Studies,390.0,251.0
GC301,Accounting & Finance,253.0,307.0
GC305,International Hospitality Management,253.0,327.0
GC400,Business Studies,248.0,246.0
GC401,Accounting and Finance,202.0,181.0
GC402,Business Studies (HRM),218.0,217.0
GC403,Law,228.0,225.0
GC407,Business Studies (Marketing),218.0,246.0
GC430,Computing Science,220.0,217.0
GC450,Communications and Media Production,254.0,227.0
GY101,Arts (Joint-Honours),300.0,300.0
GY104,Arts (Psychology),519.0,507.0
GY105,Arts (History),301.0,318.0
GY107,Na Dána (Gaeilge agus Léann an Aistriúcháin),409.0,330.0
GY109,Arts (Mathematics and Education),403.0,411.0
GY110,Arts with Children`s Studies,357.0,382.0
GY111,Arts with Creative Writing,330.0,402.0
GY112,Arts with Film Studies,321.0,338.0
